@id,@type,name,amenity,sport,@lat,@lon
5250629235,node,Armkreisen,,fitness,48.0859460,11.5807409
5250629236,node,Armkreisen,,fitness,48.0842293,11.5833618
5250629237,node,Beugen und Strecken,,fitness,48.0873402,11.5785621
5250629238,node,Rumpfschwingen,,fitness,48.0855039,11.5813756
5250629239,node,tiefes Kniewippen,,fitness,48.0867773,11.5793977
5262135513,node,CrossFit FFB,,fitness,48.1989371,11.3009675
5297406692,node,,,fitness,48.1657114,11.9055692
5302121951,node,,,fitness,48.1690712,11.9164785
5541274214,node,Treppensteigen,,fitness,48.2372828,11.4368214
5639812274,node,Aktivinsel Landschaftspark Body Weight Station,,fitness,48.0704176,11.6197405
5728779994,node,healthformance,,fitness,48.1315701,11.3707128
5879562342,node,,,fitness,48.1012265,11.4001776
5879562343,node,,,fitness,48.1012021,11.4001423
5879562344,node,,,fitness,48.1011930,11.4000907
5879562345,node,,,fitness,48.1012001,11.4000374
5879562346,node,,,fitness,48.1012236,11.3999948
5879562347,node,,,fitness,48.1012630,11.3999764
5893521077,node,Vitalis Trainingszentrum,,fitness,48.3831881,11.0457690
5919021583,node,,,fitness,48.2157032,11.3382097
5921060740,node,,,fitness,48.1634103,11.5334848
5983001285,node,Fitnesspark Outdoor,,fitness,48.1726691,11.5554157
6263149885,node,,,fitness,48.0459522,11.5893660
6387618531,node,Bi PHiT,,fitness,48.1560994,11.5609854
6422638232,node,Fit Star (FitStar),,fitness,48.1325727,11.6160312
6430996265,node,Clever fit,,fitness,48.1414424,11.4187358
6484294230,node,,,fitness,48.0965185,11.6625012
6484294231,node,,,fitness,48.0964881,11.6624035
6484294232,node,,,fitness,48.0964348,11.6624940
6484294233,node,,,fitness,48.0963911,11.6625725
6484294234,node,,,fitness,48.0964467,11.6626214
6567738880,node,Körperformen,,fitness,48.2979560,11.6210806
6681866152,node,Fit im Park,,fitness,48.1273781,11.7044780
6713004375,node,,,fitness,48.2979927,11.9028316
6713004380,node,,,fitness,48.2980320,11.9028725
6713004381,node,,,fitness,48.2980971,11.9029094
6713041894,node,,,fitness,48.2983531,11.9036490
6713041895,node,,,fitness,48.2983076,11.9034679
6713041900,node,,,fitness,48.2972344,11.9030187
6713041901,node,,,fitness,48.2971781,11.9031984
6713041902,node,,,fitness,48.2972785,11.9033195
6713041903,node,,,fitness,48.2972883,11.9033443
6713041904,node,,,fitness,48.2972775,11.9035911
6721887724,node,,,fitness,48.2982604,11.9035350
6785058333,node,,,fitness,48.2020931,11.5340953
6829755784,node,,,fitness,48.1668055,11.7257006
7155757586,node,,,fitness,47.8589057,12.0131572
7194677759,node,Speedfitness Bad Aibling,,fitness,47.8651601,12.0074022
7199021588,node,Mrs. Sporty,,fitness,48.3553550,10.9832577
7314713566,node,Clever fit,,fitness,48.1491143,11.6834235
7314955940,node,Fantastic Lady Fitness,,fitness,48.2514551,11.6539930
7415341002,node,,,fitness,48.1645469,11.6434525
7452189229,node,,,fitness,48.1670337,11.3104161
7547358715,node,,,fitness,48.1273312,11.6847684
7547358716,node,,,fitness,48.1276436,11.6845284
7547358717,node,,,fitness,48.1274861,11.6847698
7547358718,node,,,fitness,48.1274404,11.6847698
7547358719,node,,,fitness,48.1272596,11.6847778
7547358720,node,,,fitness,48.1271934,11.6847751
7547358721,node,,,fitness,48.1272686,11.6850205
7554512394,node,,,fitness,47.7560036,11.3724408
7714834149,node,FitX,,fitness,48.1414863,11.5683420
7733906453,node,Bodystreet,,fitness,48.1456062,11.5401877
7733946029,node,Bodystreet,,fitness,48.1274482,11.5571497
7733950343,node,Bodystreet Implerstraße,,fitness,48.1178325,11.5485808
7733962996,node,Bodystreet,,fitness,48.1469654,11.5592108
7733970310,node,tenless,,fitness,48.1135289,11.5780233
7733978144,node,Bodystreet,,fitness,48.1142950,11.5334630
7733979599,node,Bodystreet,,fitness,48.1549773,11.5660786
7734014175,node,Bodystreet,,fitness,48.1515426,11.6108111
7734025694,node,Bodystreet,,fitness,48.1420072,11.6007683
7734026028,node,Bodystreet,,fitness,48.1628269,11.5844995
7734035485,node,Bodystreet,,fitness,48.1266692,11.5030758
7734035912,node,Bodystreet,,fitness,48.1530999,11.5081431
7734066923,node,Bodystreet,,fitness,48.1153090,11.4768656
7734067077,node,Bodystreet,,fitness,48.1735121,11.5270746
7734074327,node,Bodystreet,,fitness,48.1262276,11.6414300
7734082147,node,Bodystreet,,fitness,48.0732818,11.5209845
7734125865,node,Bodystreet Unterhaching,,fitness,48.0594474,11.6188256
7734131829,node,Body Street,,fitness,48.1120721,11.7072834
7734139788,node,Bodystreet,,fitness,48.2154351,11.5295990
7741529821,node,,,fitness,47.7673370,11.4059551
7770291018,node,,,fitness,48.0276687,11.7024766
7770291019,node,,,fitness,48.0274866,11.7018040
7770291020,node,,,fitness,48.0272534,11.7009357
7770433489,node,,,fitness,48.0294176,11.6995744
7770433490,node,,,fitness,48.0298247,11.6993076
7770433491,node,,,fitness,48.0302077,11.6991292
7770433492,node,,,fitness,48.0294418,11.7009746
7770433495,node,,,fitness,48.0295965,11.7014741
7770433496,node,,,fitness,48.0302548,11.7004904
7770433499,node,,,fitness,48.0303350,11.7041677
7770433505,node,,,fitness,48.0295620,11.7056751
7770433511,node,,,fitness,48.0288552,11.7033832
7770433512,node,,,fitness,48.0284014,11.7020380
7771035445,node,,,fitness,47.7564587,11.3707670
7826899174,node,,,fitness,48.2637542,11.6673857
7826899183,node,,,fitness,48.2634337,11.6659017
7858556306,node,Bodystreet,,fitness,48.3081606,11.9133967
7882961319,node,,,fitness,48.1824071,11.3547616
7935800935,node,,,fitness,48.2214313,11.6608118
7935800936,node,,,fitness,48.2214165,11.6608482
7972955466,node,Marjorie Francois-Fris,,fitness,48.0781525,11.5160987
8041518576,node,Fit im Park,,fitness,48.1215613,11.5138329
8091681063,node,"freeGym, Bonni Reiter",,fitness,48.2223383,11.6786735
8187759994,node,Familienhäuschen,,fitness,48.1009497,11.5406391
8251472691,node,Fit+,,fitness,48.1213160,11.0282842
8294925186,node,Walker,,fitness,48.2223493,11.6786775
8294932600,node,Crosstrainer,,fitness,48.2291700,11.6803977
8294932601,node,Beinpresse,,fitness,48.2291746,11.6803971
8294940569,node,Latzug,,fitness,48.2170901,11.6772517
8294940570,node,Brustpresse,,fitness,48.2171032,11.6772553
8397640620,node,Dehnen/Aufwärmen,,fitness,48.5255832,12.1230510
8397640621,node,Balancierbalken,,fitness,48.5237415,12.1184636
8397640622,node,Barren,,fitness,48.5243677,12.1204468
8397640623,node,Dehnen/Abkühlen,,fitness,48.5253359,12.1229662
8397640624,node,Steps,,fitness,48.5239930,12.1168338
8423406828,node,FIT MIT MIR,,fitness,48.2474948,11.6505265
8461093043,node,,,fitness,48.0557221,12.1619660
8497122914,node,,,fitness,48.0783988,11.4522002
8497122915,node,,,fitness,48.0814482,11.4541624
8497122916,node,,,fitness,48.0804295,11.4535925
8497311272,node,,,fitness,48.3410361,10.9410546
8497311273,node,,,fitness,48.3401553,10.9416104
8497311274,node,,,fitness,48.3398841,10.9416698
8497311275,node,,,fitness,48.3397757,10.9417902
8497311276,node,,,fitness,48.3395486,10.9418461
8497311277,node,,,fitness,48.3394921,10.9418726
8497311278,node,,,fitness,48.3383021,10.9423654
8497311279,node,,,fitness,48.3386287,10.9421261
8497311280,node,,,fitness,48.3389518,10.9424010
8497311281,node,,,fitness,48.3391210,10.9423145
8497311282,node,,,fitness,48.3390330,10.9421490
8565019457,node,,,fitness,48.1910146,11.3873204
8568438366,node,,,fitness,48.1918615,11.3884197
8568446397,node,,,fitness,48.1911744,11.3862973
8570715711,node,,,fitness,48.1931040,11.3805324
8573651178,node,,,fitness,48.1932267,11.3841444
8611024711,node,Station 9,,fitness,48.5342112,11.4656749
8611054952,node,Station 11,,fitness,48.5368958,11.4589863
8611063028,node,Station 8,,fitness,48.5329215,11.4683203
8611065853,node,Station 14,,fitness,48.5341145,11.4657504
8611067768,node,Station 10,,fitness,48.5359246,11.4609380
8611068927,node,Station 13,,fitness,48.5346261,11.4643140
8611069619,node,Station 12,,fitness,48.5358818,11.4610266
8611689960,node,Station 1,,fitness,48.5308580,11.4828160
8611689961,node,Station 2,,fitness,48.5310107,11.4817692
8611689962,node,Station 5,,fitness,48.5319316,11.4758192
8611689963,node,Station 3,,fitness,48.5318120,11.4797770
8611689964,node,Station 4,,fitness,48.5320943,11.4778730
8611689965,node,Station 18,,fitness,48.5319880,11.4777022
8611689966,node,Station 17,,fitness,48.5313286,11.4727574
8611689967,node,Station 6,,fitness,48.5315930,11.4717088
8611689968,node,Station 16,,fitness,48.5315774,11.4718136
8611689969,node,Station 7,,fitness,48.5320434,11.4701047
8611689970,node,Station 14,,fitness,48.5328675,11.4683635
8619294447,node,,,fitness,48.2667554,11.4485818
8736422188,node,,,fitness,48.1368973,11.5071639
8736422189,node,,,fitness,48.1370049,11.5072435
8736422190,node,,,fitness,48.1369607,11.5071342
8736422191,node,,,fitness,48.1370074,11.5071741
8736422192,node,,,fitness,48.1369542,11.5071996
8796047520,node,fitness zone Gröbenzell,,fitness,48.1869797,11.3827196
8818462359,node,Dehnen/Abkühlen,,fitness,48.5251232,12.1217851
8818472488,node,Dip Bank,,fitness,48.5241399,12.1197219
8846901982,node,medisport starnberg,,fitness,48.0046070,11.3499756
8891117866,node,,,fitness,48.1934287,11.6757222
8936456205,node,Clever fit Sportpark,,fitness,47.7968616,11.8379348
8948444869,node,,,fitness,47.8457803,12.1215045
8948444870,node,,,fitness,47.8456332,12.1218675
9130122770,node,Studio Equilibrium,,fitness,48.1524815,11.5555404
9130200807,node,Eternity Health,,fitness,48.1594250,11.5841762
9197843617,node,Trimm-Dich Pfad Landshut,,fitness,48.5278875,12.1331304
9233442551,node,AMAC Kampfkunst,,fitness,48.1092912,11.2891501
9236314676,node,AMAC,,fitness,48.1367466,11.5438080
9236324713,node,AMAC Kampfkunst,,fitness,48.0828196,11.1985601
9272910044,node,,,fitness,48.2670903,10.9816126
9272910045,node,,,fitness,48.2671418,10.9814564
9338519693,node,INJOY,,fitness,48.1894299,11.8512915
9383569935,node,4F circle,,fitness,48.0943151,11.5368541
9410522632,node,Clever fit,,fitness,48.1052380,11.7874486
9597776025,node,Calisthenics Park Unterschleißheim,,fitness,48.2719971,11.5799233
